,person,herkunft,lebensdaten,karriere
572,Ishimori Kuniomi 石森國臣,Fukui-ken,1874–,Mai 1910–Sept. 1912 (LB) Medizin ♦ SS 1910–SS 1911 Physiologie – U Straßburg.Professor der Medizinischen Hochschule Aichi Igaku Senmon Gakkô.
573,Ishimoto S.,-,-,"Aug. 1911–Mai 1912 (Armee) Ingenieurwesen als Hauptmann der Pioniere in Berlin, überwachte u.a. den Bau eines von der japanischen Regierung bestellten Luftschiffes.79"
574,Ishino Matakichi 石野又吉,Ishikawa-ken,1.8.1883–,"März 1913–Aug. 1914 (MfB) NW-Studien ♦ SS 1913 – U Heidelberg, Werderstr. 30, bei Lauf.Dekan der Kyôto-Universität. Publik. u.a. Ippan netsugaku 一般熱學 (Allgemeine Wärmelehre), Ippan rika 一般理科 (Allgemeine Naturwissenschaft)."
575,Ishioka Shigetarô 石岡繁太郎,Tôkyô,13.8.1887–10.2.1953,"WS 1910/11–WS 1912/13 Medizin – U Jena, Bahnhofstr. 14; Gartenstr. 12.Dr. med. 1912, Jena: Aus der medizinischen Klinik in Jena. Experimenteller Beitrag zur Frage der traumatischen Pneumonie. 72 S., 3 Taf.Manager der Lebensversicherung Daiichi Seimei Hoken."
576,Ishisaki Kyûkichi,Ehime,12.8.186680–,"SS 1907–SS 1909 Medizin – U München, Maistr. 17a/2 r. und 33/2 r.Dr. med. 1909, München: Über die auf der I. medizinischen Klinik 1890–1906 beobachteten Fälle von Peritonealtuberkulose. 29 S."
577,Ishiwara (Ishihara) Jun 石原純,Tôkyô,15.1.1881–19.1.1947,"1912–1913 (MfB) NW-Studien (Physik) ♦ SS 1912 – U München, Schraudolphstr. 1 ♦ WS 1912/13 – U Berlin, Friedenau, Brünhildestr. 7.Naturwissenschaftler, Einsteinianer, Professor der Tôhoku-Universität, machte Japan u.a. mit der Relativitätstheorie Einsteins bekannt. Publik. u.a. Ainsutain no shin gakusetsu ni tsuite アインスタインの新学説に就て (Über Einsteins neue Theorie, 1929), Kagakushi 科學史 (Geschichte der Wissenschaft), Mitübersetzer und Herausgeber von Ainsutain zenshû アインスタイン全集 (Einsteins Werke, Bde. 1–4), Shizen kagaku gairon 自然科学概論 (Abriss der Naturwissenschaften), Sôtaisei riron no shodanmen 相對性理論の諸斷面 (Die verschiedenen Seiten der Relativitätstheorie)."
578,Ishiwara Tatsumi 石原巽,Tôkyô,8.8.1881–12.4.1924,"SS 1911–WS 1911/12 Medizin – U München, Waltherstr. 24/3 l.; Lindwurmstr. 40.Arzt."
579,Ishiwata Binichi (Toshikazu) 石渡敏一,Tôkyô,26.11.185981–18.11.1937,"1887–1890 Recht ♦ SS 1887–WS 1887/88 – U Berlin, Blücherstr. 10 ♦ SS 1888–WS 1889/90 – U Leipzig, Marschnerstr. 3; Lessingstr. 10.Vizeminister im Justizministerium, 1906–1908 Chefsekretär im Saionji-Kabinett, Mitglied des Kizokuin, 1934 Berater im Geheimen Staatsrat Sûmitsuin, Präsident von Tôkyô-Gasu. Lektor an der Universität Tôkyô."
580,Ishizaka Otoshirô 石坂音四郎,Tôkyô,9.12.1877–21.4.1917,"Jan. 1904–Jan. 1906 (MfB) Recht ♦ SS 1904 – U Bonn, Kirchstr. 7 ♦ WS 1904/05–WS 1905/06 – U Berlin, W Kalckreuthstr. 16.Jurist, Professor der Kyôtô- und der Tôkyô-Universität. Publik. u.a. Minpô kenkyû 民法研究 (Studien zum Zivilrecht, 4 Bde., 1911–1917), Kaisan minpô kenkyû 改纂民法研究 (Studien zu Reformen des Zivilrechts, 1926, 2 Bde), Saiken 債權 (Schuldforderung, 6 Bde.)."
581,Ishizaka Shinkichi (Nobukichi) 石坂信吉,Toyama,10.8.188282–26.3.1969,"Febr. 1911–Okt. 1914 (MfB) NW-Studien (Chemie) ♦ SS 1911 – U Leipzig, Albertstr. 44/3 ♦ SS 1912–SS 1914 – U Göttingen, Kirchweg 6; Burgstr. 45; Lindenstr. 6.Pharmakologe, Professor an der Medizinischen Hochschule Kanazawa Igaku Gakkô, 1948 deren Präsident, dann Präsident der Kanazawa-Universität."
582,Ishizaka Tomotarô 石坂友太郎,Kanazawa-shi,6.1.1873–29.4.1963,"Sept. 1904–Jan. 1908 (MfB) Medizin, darunter 1906/07 in Straßburg.Pharmakologe, Professor der Kyûshû-Universität. Publik. u.a. Studien über das Habuschlangengift, in Clinical and Experimental Medicine, Vol.4, Nr.1, März 1907."
583,Ishizawa Kiyoshi,-,-,"SS 1913–SS 1914 Ingenieurwesen – TH Berlin, W 50 Ansbacher Str. 42/2; Schöneberg, Hewaldstr. 10."
584,Ishizawa Meishun,-,-,"1908–1910 Ingenieurwesen, vorwiegend in Duisburg."
585,Ishizu Risaku 石津利作,Kyôto,9.3.1877–13.6.1929,"1911–1912 (LB) Medizin in Dresden.Hygieniker, Pharmazeut. Publik. u.a. The mineral springs of Japan ; with tables of analyses, radio-activity, notes on prominent spas and list of seaside resorts and summer retreats, 1915."
586,Isobe Tetsukichi 磯部鉄吉,-,–14.2.1957,"1910 und 1913 (Armee) Ingenieurwesen (Luftfahrt) in Johannisthal, Berlin.Mitbegründer der Äronautischen Gesellschaft Japans Nihon Kôkû Gakkai 1934. Publik. u.a. Jibaku to seppuku: shinkoku fubatsu no dentô 自爆と切腹: 神國不抜の傳統 (Selbstsprengung und Seppuku: unerschütterliche Tradition im Land der Götter, 1943)."
587,Isoda Ryô 磯田良,Tôkyô,April 1867–1.5.1924,"SS 1895–WS 1897/98 Geschichte – U Berlin, Werftstr. 11; SW Wilhelmstr. 23 ♦ WS 1897/98–SS 1898 Philosophie – U Leipzig, Albertstr. 44/3.Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô. Publik. u.a. Sekai rekishi 世界歴史 (Weltgeschichte, 1892), Kokushi kôryô 國史綱領 (Grundriss der Landesgeschichte)."
588,Isomura Toshi (Nen) 磯村年,"Kaga, Shiga-ken",30.9.1872–12.9.1961,"Sept. 1909–Nov. 1910 (Armee) Militärstudien als Leutnant in Berlin.General. August bis Dez. 1914 als Regimentskommandeur Teilnahme am Feldzug gegen Deutschland, 1918 Generalmajor, Direktor der Artillerie- und Ingenieurschule, 1928 Ernennung zum General."
589,Itami Shigeru 伊丹繁,Tôkyô,19.4.1880–13.9.1921,"WS 1907/08–SS 1908 Medizin (Hygiene) – U Heidelberg, Neuenb. Landstr. 58, bei Schweikert.Lektor an der Tôkyô-Universität, stellvertretender Direktor des Saiseikai-Hospitals. Publik. u.a. Rinshô shinkeibyôgaku 臨牀神經病學 (Die Lehre von klinischen Nervenkrankheiten)."
590,Itô Eisaburô 伊藤栄三郎,Tôkyô,–23.9.1912,Juli 1908–1910 angewandte Chemie in Berlin.Professor der Kyûshû-Universität.
591,Itô Hayazô (Junzô) 伊藤純三,Tottori-ken,9.5.1864–14.5.1929,"SS 1897 Medizin (Chirurgie) – U Berlin, Charlottenburg, Savignyplatz 5.Professor der Kyôto-Universität."
592,Itô Hirobumi 伊藤博文,"Kumage-gun, Yamaguchi-ken",2.9.1841–26.10.1909,"Mai 1882–Febr. 1883 Verfassungsstudien in Berlin bei Gneist und Mosse als Leitereiner Studiendelegation zu Verfassungsfragen in Europa.Erarbeitete federführend die japanische Verfassung von 1889. Von 1885 bis 1900 vier Mal Ministerpräsident, ab 1899 Genrô, Präsident der größten Partei Seiyûkai seit deren Gründung 1900, mehrfach Präsident des Geheimen Staatsrates Sûmitsuin, 1905–1909 erster Kolonialgouverneur von Korea. 1909 in Harbin von einem Koreaner ermordet. Publik. u.a. Commentaries on the Constitution of the Empire of Japan, Itôkô enzetsushû 伊藤侯演説集 (Gesammelte Reden von Marquis Itô, 3 Bde), Itôkô zenshû 伊藤公全集 (Gesammelte Werke von Marquis Itô), Kenpô gikai 憲法義解 (Kommentare zur Verfassung), Mitautor von Kenpô shiryô 憲法資料 (Materialien zur Verfassung, 3 Bde)."
593,Itô Hirokuni (Yûkichi) 伊藤博邦 (勇吉),Yamaguchi-ken,2.2.1870–9.6.1931,"März 1886–1891 Sprach- und Jurastudien.83Fürst, Adoptivsohn (seit 1878) von Itô Hirobumi¬, trat unmittelbar nach seiner Rückkehr aus Deutschland dem Kaiserlichen Haus- und Hofministerium bei, wurde 1929 Oberzeremonienmeister. Publik. u.a. Hrsg. von Shunpo ikô 春畝遺稿 (Shunpo-Nachlass, d.i. Nachlass des Itô Hirobumi)."
594,Itô Kamejirô 伊藤亀次郎,Fukuoka,8.7.1874–,"1898–1899 Medizin ♦ WS 1898/99 – U Straßburg, Züricher Str. 4 ♦ SS 1899 – U Erlangen, Marktplatz 2.Dr. med. 1899, Erlangen: Über den Einfluss von Muskelanstrengungen auf die Körpertemperatur. 33 S.Direktor der Asakura-Bank."
595,Itô Kinji 伊藤欣次,Tôkyô,Jan. 1884–,"SS 1914 Chemie – U Berlin, W 50 Kulmbacher Str. 11."
596,Itô Kotozô 伊藤琴三,Tôkyô,8.12.1866–,"1886–1892 NW-Studien (Chemie), darunter der Besuch einer Färberei-Schule inKrefeld ♦ WS 1887/88–SS 1888 – U Würzburg, Reisgrubengasse 35.Eigentümer einer Färberei."
597,Itô Mantarô 伊藤万太郎,Tôkyô,März 1870–3.4.1940,"WS 1901/02–SS 1902 Kameralistik – U Göttingen, Goßlerstr. 9; Friedländer Weg 27.Abteilungsleiter im MfLH. Publik. u.a. Suiryoku kikaigaku 水力機械學 (Wasserkraft-Gerätekunde)."
598,Itô Michirô 伊藤道郎,-,1893–1961,"1912–1914 (Musik) in Berlin, Leipzig, Dresden, Bildungsanstalt für Musik und Rhythmus Èmile Jacqe Dalcroze.  Direktor der Itô-Michirô-Tanzschule und des Itô-Michirô-Tanzstudios."
599,Itô Midori 伊藤緑,-,-,"SS 1900–WS 1903/04 Medizin (Innere) – U Berlin, N 4 Kesselstr. 30."
600,Itô Monji (Kadotsugu) 伊藤門次,Hyôgo-ken,1883–1932,"1911–1914 Forstwirtschaft ♦ SS 1911–SS 1913 – FH Tharandt ♦ WS 1913/14–SS1914 – U Tübingen, Grabenstr. 5.Professor der Forstfachschule Morioka Kôtô Nôrin Gakkô."
601,Itô Morio 伊東盛雄,Tôkyô,1853–15.3.1899,"1880–1883 Medizin ♦ WS 1880/81–SS 1881 – U Berlin, N Ziegelstr. 13 ♦ WS 1881/82 – Leipzig, Thalstr. 1 ♦ SS 1882–SS 1883 – U Berlin, NW Schumannstr. 13.Hofarzt."
602,Itô Motoharu 伊藤元春,-,-,Dez. 1910–Okt. 1912 (LB) Medizin.
603,Itô Otojirô 伊藤乙次郎,Aichi-ken,24.11.1866–27.3.1941,"Mai 1902–Juli 1904 (Marine) See- und Völkerrecht ♦ WS 1902/03–SS 1904 – U Berlin, Passauer Str. 42.Mai 1908–Juli 1911 Marineattaché in Berlin; Vizeadmiral, 1913–1914 Stabschef der Marinebasis Sasebo, 1917–1920 Direktor des Marinetechnischen Kommandos im Marineministerium."
604,Itô Seiichirô 伊藤精一浪,Tôkyô,4.7.1870–,"1890–1898 Medizin ♦ SS 1890–SS 1892 – U Freiburg, Rheinstr. 9 ♦ WS 1892/93–SS 1893 – U München, Holzstr. 3/1 r. ♦ WS 1893/94–SS 1896 – U Freiburg, Nussmannstr. 18 ♦ WS 1896/97–WS 1897/98 – U Halle, Krukenbergstr. 9.Dr. med. 1897, Halle: Über Fibrome, Cystofibrome und Adenomyofibrome der Scheide. 24 S., 2 Bl., 1 Taf.Arzt in Morioka."
605,Itô Seizô 伊藤清蔵,Sapporo,1975–1941,"Jan. 1903–1906 (MfB) Staatswissenschaften ♦ SS1903–WS 1903/04 – U Bonn, Bonnerthalweg 113 ♦ SS 1904–WS 1904/05 – U Halle, Grünstr. 10 und 32 ♦ WS 1905/06 – U Bonn, Bonnerthalweg 113.Professor am Mädchengymnasium von Morioka. Publik. u.a. Nôgyô kinyûron 農業金融論 (Über Agrarfinanzen), Nôgyô keieigaku 農業経営学 (Agrarbetriebslehre), Sekai no sangyô kyôsô to Nihon sangyô 世界の蠶業競争と日本蠶業 (Die weltweite Konkurrenz der Seidenzucht und Japans Seidenzucht), Shina no kenchiku 支那の建築 (Bauen in China)."
606,Itô Sukehiko 伊藤祐彦,Yamagata-ken,17.8.1865–6.10.1936,"SS 1901–WS 1903/04 (MfB) Medizin (Bakteriologie) – U Berlin, Kesselstr. 30.Dekan der Kyôto-Universität, Direktor des Hospitals der Kyûshû-Universität. Publik. u.a. Kekkaku oyobi sono chiryôhô 結核及其治療法 (Tuberkulose und dessen Behandlung), Ekiri to sekiri 疫痢ト赤痢 (Kinderruhr und rote Ruhr)."
607,Itô Tetsuta 伊藤徹太,Okayama-ken,4.8.1878–5.8.1919,"1910–1912 Medizin (Dermatologie und Urologie) ♦ WS 1910–WS 1911/12 – U Berlin, NW 23 Flensburgerstr. 17 ♦ SS 1912 – U Breslau.Professor der Medizinischen Fachschule Chiba Igaku Senmon Gakkô, Chefarzt im Präfekturkrankenhaus von Chiba."
608,Itô Yoshigorô 伊東義五郎,"Matsushiro, Nagano-ken",14.6.1858–22.2.1919,"April 1884–1888 (Marine) Militärstudien in Frankreich und Deutschland.Vizeadmiral, Baron, im Japanisch-Chinesischen Krieg Stellvertretender Marineminister; Präsident der Dai Nihon Kôgyô AG."
609,Iura Sentarô 井浦仙太郎,Tôkyô,Juni 1878–2.11.1955,"Okt. 1910–1912 (MfB) Ökonomie ♦ SS 1911–WS 1911/12 – U Berlin, W 57 An der Apostelkirche 8.Finanzexperte, Professor der Hitotsubashi-Universität. Publik. u.a. Torihikijo 取引所 (Die Börse), Ginkô oyobi kinyû 銀行及金融 (Banken und Kapital, 3 Bde)."
610,Iwabe Sueyoshi,-,-,"1899–1900 (Marine) Ingenieurwesen in Stettin und Swinemünde.Vizeadmiral, Chefingenieur."
611,Iwai Takabumi (Sonbun) 岩井尊文,Nara-ken,19.3.1877–,"WS 1913/14–SS 1914 (Marine) Recht – U Berlin, Charlottenburg, Gleiditschstr. 40.Marineoffizier, Anwalt."
612,Iwamoto Shûhei 岩本周平,Tôkyô,Aug. 1881–5.7.1966,"Aug. 1911–Mai 1912 (Armee) Ingenieurwesen ♦ überwachte u.a. den Bau eines vonder japanischen Regierung bestellten Luftschiffes ♦ WS 1911/12 Physik – TH Berlin ♦ 1912 in Bitterfeld.Professor der Tôkyô-Universität, Direktor des Instituts für Aeronautik."
613,Iwano Shunji (Toshiharu) 岩野俊治,Takeoka,Aug.1878–,"SS 1908–WS 1911/12 (SME) Chemie – U München, Blumenstr. 39/2 r.; Gabelsbergerstr. 48/2; Magdalenenstr. 11/1; Planegg, Bahnhofstr. 56/1; Mozartstr. 9/2.Dr. med. 1912, München: Ist die Magenschleimhaut mechanisch erregbar?Professor der Medizinischen Hochschule der Südmandschurischen Eisenbahn."
614,Iwasa Arata (Shin) 岩佐新,Tôkyô,April 1865–24.10.1938,"Febr. 1884–1895 Medizin ♦ WS 1885/86–SS 1892 – U München, Landwehrstr. 32/1 r.; Hundskugel 7/3; Lindwurmstr. 9/1; Sendlingerthorpl. 4/0; Mozartstr. 3/3; Sendlingerthorpl. 1a/3; Fliegenstr. 1a/2; Holzstr. 3/1 ♦ WS 1892/93–SS 1894 – U Freiburg, Karlstr. 31.Dr. med. 1894, Freiburg: Über einen Fall von Tuberkel im Thalamus opticus. 25 S.Direktor des Iwasa-Hospitals."
615,Iwasa Toyata 岩佐登弥太,Tôkyô,27.1.1860–3.8.1895,"April 1884–Okt. 1888 Medizin (Chirurgie) ♦ WS 1885/86 – U Heidelberg, Bergheimerstr. 49, bei Wtw. Hartmann ♦ WS 1886/87–SS 1888 – U Heidelberg, Hauptstr. 16, bei Dr. Henkenius.Hofarzt."
616,Iwasaki Kichiji,-,-,1913–1914 (Armee) Ingenieurwesen bei Friedrich Krupp Co. in Essen.Waffenmeister.
617,Iwasaki Kôjirô 岩崎幸次郎,Ôsaka,6.4.1874–1846,"1900–1904 Recht ♦ WS 1900/01–WS 1902/03 – U Berlin, Auguststr. 65, Kochstr. 7; Wartburgstr. 17; Großbeerenstr. 19 ♦ SS 1903–WS 1903/04 – U Leipzig, Magazing. 4/2; Albertstr. 8/2.Dr. jur. 1904, Leipzig: Das japanische Eherecht. 64 S.Staatsanwalt."
618,Iwasaki Koshirô 岩崎小四郎,Tôkyô,3.3.1877–,"Jan. 1911–1914 (Armee) Medizin (Chirurgie) ♦ WS 1911/12–SS 1914 – U Göttingen, Kirchweg 6.Stabsarzt, Professor der Armeehochschule für Medizin Rikugun Guni Gakkô."
619,Iwasaki Shûjirô 岩崎周次郎,-,–6.2.1923,"1901–Sept. 1903 (Marine) Medizin ♦ WS 1901/02–SS 1902 – U Berlin, NW 6 Philippstr. 16.Stabsarzt der Marine, Professor an der Militärakademie"
620,Iwase Yûichi 磐瀬雄一,"Asakusa, Tôkyô",15.10.1875–16.11.1946,"Jan. 1907–1909 (MfB) Medizin in Tübingen und München.Professor der Tôkyô-Universität, Präsident der Gynekologischen Gesellschaft Japans. Publik. u.a. Shinsen sankagaku 新撰産科學 (Neuauswahl Geburtshilfe), Shinsen sanka shujutsugaku 新撰産科手術學: 全 (Untertitel: Lehrbuch der operativen Geburtshilfe)."
621,Iwata Hajime 岩田一,Aichi-ken,30.5.1873–8.9.1933,"Okt. 1909–Dez. 1910 (Armee) Medizin ♦ SS 1910 HNO-Krankheiten – U Berlin, N 4 Invalidenstr. 40.Stabsarzt, Lektor der Armeehochschule für Medizin Rikugun Guni Gakkô., Direktor des Tôkyô-Hospitals. Publik. mit Yoshii Ushisaburô¬ Kindai jibi inkô kagaku 近世耳鼻咽喉科學: 完 (Moderne HNO-Wissenschaften; Untertitel: Grundriss der Oto-, Rhino-, Pharyngo- u. Laryngologie)."
622,Iwaya Magozô 巌谷孫藏,"Hizen, Saga-ken",2.8.1867–13.11.1918,"1885–1891 Recht ♦ SS 1886–SS 1887 – U Jena, Lutherstr.87, bei Ludwig ♦ WS 1887/88–WS 1889/90 – U Halle, Gütchenstr. 3; Ludwig Wuchererstr. 4.Dr. jur. 1890, Halle: Die rechtliche Stellung des Nebenintervenient-Streitgenossen nach den Bestimmungen der deutschen Civilprocessordnung. VI S., 1 Bl., 78, 1 S.Professor der Kyôto-Universität, Rechtsberater der chinesischen Regierung 1912, half u.a. bei der chinesischen Gesetzgebung. Publik. u.a. Minji soshôhô ryakuron 民事訴訟法略論 (Überblick über die Zivilprozessordnung, 1891), Minpô kôgi 民法講義 (Vorlesungen zum Zivilrecht)."
623,Iwaya Ryûtarô 巌谷立太郎,Shiga,15.9.1857–24.1.1891,"WS 1877–WS 1880/81 Ingenieurwesen (Hüttenkunde) – BA Freiberg, Vorstadt Nr. 261B (Heute: Chemnitzerstr. 9); Innenstadt Nr. 677 (heute Weingasse 13); Innenstadt Nr. 805 (heute: Hornstr. 25)Hütten-Ingenieur 1881, Freiberg.Professor der Tôkyô-Universität, Mitarbeiter im MfLH."
624,"Iwazumi Ryôji (Yoshiharu, Ryôharu) 岩住良治","Kitaura, Miyagi-ken",Jan. 1875–10.2.1958,"1901–1906 (MfB) Agrarstudien ♦ SS 1901–WS 1903/04 – U Berlin ♦ SS 1904 – U Leipzig, Neureudnik, Albertstr. 67/2 ♦ WS 1904/05–SS 1905 – U Halle, Kleine Ulrichstr. 19 ♦ WS 1905/06–SS 1906 – U Göttingen, Barfüßerstr. 15.Zoologe, Professor der Tôkyô-Universität, leistete Pionierarbeit auf dem Gebiet der Viehzucht. Publik. u.a. Chikusan kyôkasho 養畜教科書 (Lehrbuch zur Tieraufzucht), Cikusangaku hanron 畜産学汎論 (Überblick über die Viehzucht), Chikusan hattatsu shoshi 畜産發達小史 (Kleine Geschichte der Entwicklung der Viehzucht)."
625,Izumiya Teiichi,-,–1918,"1900–1905 und 1912 Ingenieurwesen (Mashinenbau) ♦ WS 1900/01–WS 1903/04 –TH Berlin, SW Königgrätzer Str. 97 ♦ 1901–1904 ChemnitzAbteilungsleiter (Fotografie) bei Mitsukoshi."
626,Jin Takenosuke 神竹之助,Aomori-ken,1.12.187988–1.11.1931,"WS 1909/10–SS 1911 Medizin (Chirurgie) – U Königsberg, Schönstr. 14; Trgh. Pulverstr.49.Dr. med. 1910, Königsberg: Aus der chirurgischen Universitätsklinik zu Königsberg i. P. Experimentelle Beiträge zur Lehre der einfachen arthritischen Muskelatrophie. 42 S.Arzt in Aomori."
627,Jinbo Kotora 神保小虎,Tôkyô,Mai 1867–18.11.1924,"WS 1892/93–WS 1893/94 Geografie – U Berlin, Blücherstr. 10.Mineraloge, Professor der Tôkyô-Universität. Publik. u.a. Beiträge zur Kenntnis der Fauna der Kreideformation von Hokkaido (Jena 1894), Mitautor von A vocabulary of mineralogical terms in the three languages English, German and Japanese (1903) und Ainugo kaiwa jiten (Konversationslexikon der Ainu-Sprache)."
628,Jôhôji Gorô 浄法寺五郎,Tochigi-ken,27.5.1865–20.1.1938,"Jan. 1901–1904 (Armee) Militärstudien als Hauptmann in Detmold, Berlin und Hannover ♦ 1901–1902 Kommandierung zum Füsilier-Regiment Nr. 73.Febr.1904–Febr. 1905 Militärattaché in Wien.Generalleutnant. Im Krieg gegen Deutschland 1914–1915 Stabschef der japanischen Armee in Qingdao."
629,Kabayama Aisuke 樺山愛輔,Tôkyô,1865–1953,"WS 1889/9089–WS 1890/91 Philosophie – U Bonn, Colmanstr. 25.Politiker und Unternehmer, Vizepräsident der 1917 gegründeten Japanisch-Amerikanischen Gesellschaft Nichi-Bei Kyôkai, 1907 Mitglied des Kizokuin, Direktor verschiedener Versicherungen und Unternehmen. Publik. u.a. Chichi, Kabayama Sukenori: denki Kabayama Sukenori  父、樺山資紀: 伝記・樺山資紀 (Biografie meines Vaters Kabayama Sukenori, 1837–1922)."
630,Kabuto Kuninori 加太邦憲,Kuwana,19.5.1857–4.12.1929,"1887–1890 (MfJ) Recht ♦ SS 1887–SS 1888 – U Berlin, NW 6 Marienstr. 2 ♦ WS 1888/89–SS 1889 – U Leipzig, Gottschedstr. 12.Leiter des Juristischen-Instituts Kansei Hôgaku Gakkô. Publik. u.a. Kabuto Kuninori jirekifu 加太邦憲自歴譜 (Autobiografie von Kabuto Kuninori, 1931) und mehrere Übersetzungen von Arbeiten des Juristen Gustave Boissonade (1825–1910)."
631,Kadowaki Shinji,-,-,April 1907–1914 Medizin.
632,Kadowaki Shôho 門脇章甫,Watari-mura,25.8.1865–,"WS 1905/06–SS 1907 Medizin (Innere) – U München, Landwehrstr. 42/3; Mozartstr. 9/2.Dr. med. 1907, München: Casuistischer Beitrag zur Lehre von der traumatischen Entstehung der Schädel-Endotheliome. 18 S., 1 Taf., 2 Abb.Arzt in der Shimane-Präfektur."
633,Kagawa Tetsuzô 香川鉄蔵,-,-,"1899–Juli 1900 Ingenieurwesen bei Friedrich Krupp Co in Essen und 1904–1905 in Essen und Magdeburg.Publik. u.a. Manshû de hataraku Nihonjin 滿洲で働く日本人 (In der Mandschurei beschäftigte Japaner, 1941), Keikikyû 軽気球 (Luftballone, Übersetzung einer Arbeit von Selma Lagerlof), Jiga to ishiki 自我と意識 (Ego und Bewusstsein, Übersetzung einer Arbeit von William James),"
634,Kageyama Masaharu 影山真玄,Kanagawa-ken,1861–9.2.1895,"1891–1895 Medizin (Chirurgie) ♦ SS 1891 – U Erlangen, Obere Karlstr. 21 ♦ WS1891/92–WS 1894/95 – U München, Landwehrstr. 47/2; Lindwurmstr. 33/3; Kreuzstr. 31/3 und 26/3; Landwehrstr. 61/3.Dr. med 1895, München: Über die Ligatur der Vena femoralis communis. 53 S.In München verstorben."
635,Kaji Kanji 梶完治,Kagawa-ken,26.6.1881–21.2.1947,"WS 1908/09–SS 1909 Medizin (Gynekologie) – U Würzburg, Theresienstr. 9/3.Dr. med. 1909, Würzburg: Ein Fall von diffuser fibroadenomatröser Umwandlung der Mamma (Mammon).19 S.Kinderarzt in Tokushima. Publik. u.a. Nihon sanji kiyô 日本産児紀要 (Bericht über Neugeborene in Japan)."
636,Kajiyama Hideo 梶山秀男,Yamaguchi-ken,Okt. 1880–,"1908–1911 Ingenieurwesen (Elektrotechnik) ♦ GH WS 1908/09–SS 1909– TH Berlin, Charlottenburg, Goethestr. 77; Schöneberg, Königsweg 14 ♦ SS 1911 – TH Berlin, Frauenhoferstr. 13/1.Leitender Direktor der Elektro-AG Fuji Denki."
637,Kakehi Katsuhiko 筧克彦,Nagano-ken,28.11.1872–27.2.1961,"SS 1899–WS 1903/04 (MfB) Recht – U Berlin, Melanchthonstr. 21.Professor der Tôkyô-Universität. Publik. u.a. Dai Nihon teikoku kenpô no konpongi 大日本帝國憲法の根本義 (Grundbedeutungen der Verfassung des Kaiserreiches Großjapan), Kôkoku seishin kôwa 皇國精神講話 (Vorträge über den Geist des Kaiserreiches), Kôkoku gyôseihô 皇國行政法 (Verwaltungsrecht des Kaiserreiches)."
638,Kakehi Shôtarô 筧正太郎,Tottori-ken,Jan. 1882–,"Juni 1912–1914 (JE) Staatswissenschaft ♦ WS 1912/13–SS 1913 – U Berlin, W 50 Schaperstr. 12.Verwaltungsdirektor der Keiô-Elektrik, Anwalt."
639,Kakizawa Nobuyoshi 柿沢信義,Toyama-ken,29.6.1873–,März 1912–Okt. 1914 (MfB) Medizin in Würzburg und Berlin.Professor der Tôhoku-Universität.
640,"Kako (Tôji, Momoji 賀古桃次",Hamamatsu,2.3.1867–25.7.1931,"Sept. 1900–April 1903 (LB) Medizin (Augenheilkunde) ♦ WS 1900/01–SS 1901 – U Leipzig, Leipzig-Reudnitz, Josephinenstr. 6/3 ♦ GH WS 1901/1902–SS 1903 – U Breslau.Professor der Medizinischen Hochschule Aichi Igaku Senmon Gakkô, Chefarzt im Aichi-Hospital, Arzt in Nagoya."
641,Kako Hikaru,Hyôgo,13.10.1860–,"1903–1905 Medizin ♦ WS 1903/04 – U Erlangen, Löwenichstr. 30 ♦ SS 1904–WS 1904/05 – U Greifswald, Papenstr. 16.Dr. med. 1905, Greifswald: Aus der medizinischen Klinik der Universität Greifswald. Über die Funktionsprüfung des Darmes mittels der Schmidt’schen Probekost. 23 S."
642,Kako Tsurudo 賀古鶴所,"Hamamatsu, Shizuoka-ken",31.1.1855–1.1.1931,"1888 (Armee) Medizin (HNO-Krankheiten) in Berlin.92Militärarzt, Lektor an der Medizinischen Hochschule der Armee Rikugun Guni Gakkô, Pionier der modernen HNO-Medizin in Japan. Eigner der Kako-HNO-Klinik. Publik. u.a. Jika shinsho 耳科新書 (Neupublikation über HNO-Krankheiten), Mimi no eisei 耳之衛生 (Ohrenhygiene)."
643,Kaku Kazuma,Fukuoka,25.2.1861–,"WS 1902/03–SS 1903 Medizin (Dermatologie) – U Rostock, Friedrichstr. 35.Dr. med. 1903, Rostock: Über die therapeutische Bedeutung der Excision des syphilitischen Primäraffektes. 100 S."
644,Kaku Matajirô,-,-,1912–Juli 1913 Ingenieurwesen in Gutehoffnungshütte Oberhausen.Ingenieur im Stahlwerk Yawata Seitetsujô.
645,Kameda Toyojirô 亀田豊次郎,Tôkyô,Jan. 1885–1.10.1944,"WS 1913/14–SS 1914 Mathematik – U Berlin, Charlottenburg, Kantstr. 139.Tätig im Gesundheitsministerium."
646,"Kamei Koreaki, Vicomte 亀井玆明",Kyôto,15.6.1861–18.7.1896,"1886–1891 Philosophie ♦ WS 1887/88–SS 1890 – U Berlin, Göbenstr. 11."
